ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
3220983676,-24.7934561,-65.4224487,General Gregorio Aráoz de Lamadrid,Liborio Matos,General Gregorio Aráoz de Lamadrid y Liborio Matos
3220983677,-24.793545,-65.4210632,General José María Paz,Liborio Matos,General José María Paz y Liborio Matos
3242549657,-24.7972976,-65.4306983,La Rioja,Talcahuano,La Rioja y Talcahuano
3242549658,-24.7988178,-65.4310041,La Caldera,Metán,La Caldera y Metán
3242549659,-24.799026,-65.4228236,La Viña,Orán,La Viña y Orán
3242549660,-24.7992522,-65.4241287,Cafayate,Orán,Cafayate y Orán
3242551361,-24.7994664,-65.4254559,Orán,San Carlos,Orán y San Carlos
3242551362,-24.799693,-65.4267629,Molinos,Orán,Molinos y Orán
3242551363,-24.8002367,-65.4300154,Orán,Talcahuano,Orán y Talcahuano
3242551364,-24.8002559,-65.422536,La Viña,Tucumán,La Viña y Tucumán
3242551365,-24.8007023,-65.4251642,San Carlos,Tucumán,San Carlos y Tucumán
3242551366,-24.8009142,-65.4264786,Molinos,Tucumán,Molinos y Tucumán
3242551367,-24.8011456,-65.4277843,Los Andes,Tucumán,Los Andes y Tucumán
3242551369,-24.8042884,-65.4242839,Francisco Narciso de Laprida,Teodoro Fels,Francisco Narciso de Laprida y Teodoro Fels
3242551370,-24.8048755,-65.4258965,Chacabuco,Dionisio Ramos,Chacabuco y Dionisio Ramos
3366913210,-24.7757995,-65.4151068,Avenida Domingo Faustino Sarmiento,Bernardo O'Higgins,Avenida Domingo Faustino Sarmiento y Bernardo O'Higgins
3366913211,-24.7750073,-65.4150283,Avenida Domingo Faustino Sarmiento,Rotonda del Parque 20 de Febrero,Avenida Domingo Faustino Sarmiento y Rotonda del Parque 20 de Febrero
3366913213,-24.7795678,-65.4154754,Adolfo Alsina,Avenida Domingo Faustino Sarmiento,Adolfo Alsina y Avenida Domingo Faustino Sarmiento
3374849373,-24.8021254,-65.4214406,Coronel Jorge Vidt,General Gregorio Aráoz de Lamadrid,Coronel Jorge Vidt y General Gregorio Aráoz de Lamadrid
3374849375,-24.8022537,-65.4235416,Cafayate,Coronel Jorge Vidt,Cafayate y Coronel Jorge Vidt
3374876585,-24.7986726,-65.4175325,Chicoana,Esteco,Chicoana y Esteco
3374876586,-24.7988745,-65.418456,Chicoana,Islas Malvinas,Chicoana y Islas Malvinas
3374876587,-24.7981695,-65.4173846,Esteco,Jujuy,Esteco y Jujuy
3374876591,-24.799057,-65.41748,Andrés Ugarriza,Jujuy,Andrés Ugarriza y Jujuy
3374877493,-24.7987419,-65.4178658,Andrés Ugarriza,Chicoana,Andrés Ugarriza y Chicoana
3460650627,-24.7705949,-65.4174273,General Juan Antonio Álvarez de Arenales,Marcelo T. de Alvear,General Juan Antonio Álvarez de Arenales y Marcelo T. de Alvear
3460650641,-24.7712819,-65.4119157,20 de Febrero,General Juan Antonio Álvarez de Arenales,20 de Febrero y General Juan Antonio Álvarez de Arenales
3460650651,-24.7742283,-65.4289868,Coronel Nicanor Árias,Juan Esteban Pedernera,Coronel Nicanor Árias y Juan Esteban Pedernera
3460650654,-24.7754755,-65.429114,Juan Esteban Pedernera,Rafael Gobelli,Juan Esteban Pedernera y Rafael Gobelli
3460650655,-24.7755746,-65.4277634,Junín,Rafael Gobelli,Junín y Rafael Gobelli
3460650656,-24.7756544,-65.4263438,Rafael Gobelli,República de Siria,Rafael Gobelli y República de Siria
3460650658,-24.7758469,-65.4041492,La Tablada,Vicente López,La Tablada y Vicente López
3460650660,-24.776844,-65.4279169,Junín,Tomás Guido,Junín y Tomás Guido
3460650661,-24.7769222,-65.4264988,República de Siria,Tomás Guido,República de Siria y Tomás Guido
3534067757,-24.7782797,-65.4304659,Adolfo Alsina,Coronel Manuel Isidoro Suárez,Adolfo Alsina y Coronel Manuel Isidoro Suárez
3795842737,-24.7944154,-65.3920434,Avenida La Cumbre,Teniente José Luis Fuentes,Avenida La Cumbre y Teniente José Luis Fuentes
